,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L
0,0.09022352215774179,0.07813586220751259,2.6392797669904198e-104,1.5339208059700235e-155,0.25,0.14285714285714285,0.25
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.10000000000000002,4.717068855239749e-155,3.6719460152935046e-206,1.0244914152188952e-231,0.1111111111111111,0.0,0.1111111111111111
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.11111111111111109,4.972227154133551e-155,3.8031966729424963e-206,1.0518351895246305e-231,0.16666666666666666,0.0,0.16666666666666666
13,0.13406400920712788,4.471666651098519e-155,3.101143241602482e-206,8.166726842395623e-232,0.14285714285714285,0.0,0.14285714285714285
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.11111111111111109,4.972227154133551e-155,3.8031966729424963e-206,1.0518351895246305e-231,0.2,0.0,0.2
16,0.21729910425353913,4.5840057067137365e-155,2.7288157987656006e-206,6.657922819542466e-232,0.2222222222222222,0.0,0.1111111111111111
17,0.7368576777701837,0.6849992935944881,0.6604818251986317,0.6406914384370698,0.7272727272727273,0.6,0.7
18,0.04965853037914096,2.342427070484227e-155,1.8234344275101806e-206,5.087473806581661e-232,0.07692307692307693,0.0,0.07692307692307693
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.2021768865708778,5.223533056060786e-155,3.32691696578683e-206,8.396161215621529e-232,0.25,0.0,0.25
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.08333333333333333,4.306075028866568e-155,3.455433496497238e-206,9.788429383461836e-232,0.3333333333333333,0.0,0.3333333333333333
23,0.141080287481769,5.1548279763727125e-155,3.6852203200107056e-206,9.853445011990208e-232,0.14285714285714285,0.0,0.14285714285714285
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.06666666666666667,3.851470592303926e-155,3.2077403065267053e-206,9.257324954728539e-232,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.16666666666666669,6.08970970641905e-155,4.353573398748715e-206,1.1640469867513693e-231,0.16666666666666666,0.0,0.16666666666666666
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.05000000000000001,3.3354713748637937e-155,2.914425483723672e-206,8.614911585158347e-232,0.08333333333333333,0.0,0.09090909090909091
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.043443485862611285,1.2960652804577517e-155,8.660193858958266e-207,2.2386076440877334e-232,0.09090909090909091,0.0,0.1
39,0.8,0.7888106377466155,0.7756555904835206,0.7598356856515925,0.8571428571428571,0.8333333333333334,0.8571428571428571
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0909090909090909,4.497548684366688e-155,3.557121715620872e-206,1.0003688322288243e-231,0.14285714285714285,0.0,0.14285714285714285
42,0.10000000000000002,4.717068855239749e-155,3.6719460152935046e-206,1.0244914152188952e-231,0.2,0.0,0.2
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.08556951983876535,3.1265612132144807e-155,2.2351991118824952e-206,5.9764165035645784e-232,0.125,0.0,0.125
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.19470019576785122,5.808561601872144e-155,3.881229616470209e-206,1.0032743411283238e-231,0.2,0.0,0.2
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.2857142857142857,0.2182178902359924,1.0194713973349031e-103,6.968148412761692e-155,0.2,0.0,0.2
57,0.13333333333333333,5.4468019467171996e-155,4.041499534789231e-206,1.1008876702055895e-231,0.1,0.0,0.1
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.25,7.458340731200295e-155,4.983597475548963e-206,1.2882297539194154e-231,0.3333333333333333,0.0,0.3333333333333333
60,0.06295853427918728,1.6266250338817998e-155,1.0360126688421901e-206,2.614591671051252e-232,0.125,0.0,0.125
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.12500000000000003,5.273843307431707e-155,3.9554839376362416e-206,1.0832677820940877e-231,0.25,0.0,0.25
65,0.3333333333333333,8.612150057732663e-155,5.485158767345877e-206,1.384292958842266e-231,0.3333333333333333,0.0,0.125
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.11809163818525367,3.523070700364982e-155,2.354084759773887e-206,6.085166479973199e-232,0.125,0.0,0.125
68,0.19885318151430437,6.29232312294398e-155,4.287826202845085e-206,1.1193096620723278e-231,0.1111111111111111,0.0,0.125
69,0.18612544500887301,5.194120096460954e-155,3.394277924708952e-206,8.676910262183261e-232,0.1111111111111111,0.0,0.1111111111111111
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.10000000000000002,4.717068855239749e-155,3.6719460152935046e-206,1.0244914152188952e-231,0.125,0.0,0.14285714285714285
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
